Time(s),CTSresistance,PatientWeight(kg),HeartRate(1/min),HeartStrokeVolume(mL),BloodVolume(L),ExtravascularFluidVolume(L),ArterialPressure(mmHg),MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),HemoglobinContent(g),CentralVenousPressure(mmHg),PulmonaryCapillariesWedgePressure(mmHg),RespirationRate(1/min),OxygenSaturation,CarbonDioxideSaturation,TidalVolume(mL),TotalLungVolume(L),EndTidalCarbonDioxideFraction,TotalAlveolarVentilation(L/min),TranspulmonaryPressure(cmH2O),RespiratoryExchangeRatio,CoreTemperature(degC),SkinTemperature(degC),GlomerularFiltrationRate(mL/min),RenalBloodFlow(L/min),UrineProductionRate(mL/min),LeftAfferentArterioleResistance(mmHg_min/mL),RightAfferentArterioleResistance(mmHg_min/mL),OxygenConsumptionRate(mL/min),CarbonDioxideProductionRate(mL/min),LeftAlveoli-Pressure(cmH2O),LeftAlveoli-Oxygen-PartialPressure(mmHg),LeftAlveoli-CarbonDioxide-PartialPressure(mmHg),RightAlveoli-Pressure(cmH2O),RightAlveoli-Oxygen-PartialPressure(mmHg),RightAlveoli-CarbonDioxide-PartialPressure(mmHg),Trachea-Oxygen-PartialPressure(cmH2O),Trachea-CarbonDioxide-PartialPressure(cmH2O),Aorta-Oxygen-PartialPressure(mmHg),Aorta-CarbonDioxide-PartialPressure(mmHg),VenaCava-Oxygen-PartialPressure(mmHg),VenaCava-CarbonDioxide-PartialPressure(mmHg),RightTubules-Sodium-Concentration(g/L),LeftTubules-Sodium-Concentration(g/L),Oxygen-AlveolarTransfer(mL/s),CarbonDioxide-AlveolarTransfer(mL/s),Epinephrine-BloodConcentration(ug/L),LiverGlycogen(g),MuscleGlycogen(g),NeuromuscularBlockLevel,SedationLevel,LeftEyePupillaryResponse-SizeModifier,LeftEyePupillaryResponse-ReactivityModifier,RightEyePupillaryResponse-SizeModifier,RightEyePupillaryResponse-ReactivityModifier,Aorta-Prednisone-Concentration(ug/L),VenaCava-Prednisone-Concentration(ug/L),BoneVasculature-Prednisone-Concentration(ug/L),BrainVasculature-Prednisone-Concentration(ug/L),FatVasculature-Prednisone-Concentration(ug/L),GutVasculature-Prednisone-Concentration(ug/L),LeftKidneyVasculature-Prednisone-Concentration(ug/L),LeftLungVasculature-Prednisone-Concentration(ug/L),LiverVasculature-Prednisone-Concentration(ug/L),MuscleVasculature-Prednisone-Concentration(ug/L),MyocardiumVasculature-Prednisone-Concentration(ug/L),RightKidneyVasculature-Prednisone-Concentration(ug/L),RightLungVasculature-Prednisone-Concentration(ug/L),SkinVasculature-Prednisone-Concentration(ug/L),SpleenVasculature-Prednisone-Concentration(ug/L),BoneTissueExtracellular-Prednisone-Concentration(ug/L),BrainTissueExtracellular-Prednisone-Concentration(ug/L),FatTissueExtracellular-Prednisone-Concentration(ug/L),GutTissueExtracellular-Prednisone-Concentration(ug/L),LeftKidneyTissueExtracellular-Prednisone-Concentration(ug/L),LeftLungTissueExtracellular-Prednisone-Concentration(ug/L),LiverTissueExtracellular-Prednisone-Concentration(ug/L),MuscleTissueExtracellular-Prednisone-Concentration(ug/L),MyocardiumTissueExtracellular-Prednisone-Concentration(ug/L),RightKidneyTissueExtracellular-Prednisone-Concentration(ug/L),RightLungTissueExtracellular-Prednisone-Concentration(ug/L),SkinTissueExtracellular-Prednisone-Concentration(ug/L),SpleenTissueExtracellular-Prednisone-Concentration(ug/L),BoneTissueIntracellular-Prednisone-Concentration(ug/L),BrainTissueIntracellular-Prednisone-Concentration(ug/L),FatTissueIntracellular-Prednisone-Concentration(ug/L),GutTissueIntracellular-Prednisone-Concentration(ug/L),LeftKidneyTissueIntracellular-Prednisone-Concentration(ug/L),LeftLungTissueIntracellular-Prednisone-Concentration(ug/L),LiverTissueIntracellular-Prednisone-Concentration(ug/L),MuscleTissueIntracellular-Prednisone-Concentration(ug/L),MyocardiumTissueIntracellular-Prednisone-Concentration(ug/L),RightKidneyTissueIntracellular-Prednisone-Concentration(ug/L),RightLungTissueIntracellular-Prednisone-Concentration(ug/L),SkinTissueIntracellular-Prednisone-Concentration(ug/L),SpleenTissueIntracellular-Prednisone-Concentration(ug/L),Prednisone-PlasmaConcentration(ug/L),Prednisone-EffectSiteConcentration(ug/mL),Prednisone-SystemicMassCleared(ug),Prednisone-MassInBody(ug),Prednisone-LeftKidneyTissue-PartitionCoefficient,Prednisone-RightKidneyTissue-PartitionCoefficient,Prednisone-BrainTissue-PartitionCoefficient,Prednisone-RightLungTissue-PartitionCoefficient,Prednisone-LeftLungTissue-PartitionCoefficient,Prednisone-LiverTissue-PartitionCoefficient,Prednisone-BoneTissue-PartitionCoefficient,Prednisone-FatTissue-PartitionCoefficient,Prednisone-SkinTissue-PartitionCoefficient,Prednisone-MuscleTissue-PartitionCoefficient,Prednisone-SpleenTissue-PartitionCoefficient,Prednisone-GutTissue-PartitionCoefficient,Prednisone-MyocardiumTissue-PartitionCoefficient,LiverTissueIntracellular-Prednisone-MassCleared(ug),LeftKidneyTissueIntracellular-Prednisone-MassCleared(ug),RightKidneyTissueIntracellular-Prednisone-MassCleared(ug),LiverTissueIntracellular-Prednisone-MassExcreted(ug)
38.24,0,77.6,72.36,80.5,5.54,34.4,79.7,95.8,115,74.4,5.83,846,3.89,6.39,16.57,0.980,0.029,531,2.60,0.0432,7.49,5.05,0.869,36.5,31.2,90,0.90,0.452,0.0367,0.0367,259.859,240.870,1033,116,39.8,1033,117,39.4,168,44.8,95.8,39.9,37.7,44.6,2.12,2.12,3.38,-3.02,0.028414,117,592.19,0,0,0.000,0,0.000,0,498.6903,10690.6630,10.4142,72.7266,14.4219,31.0888,150.5619,3810.4112,10.8330,17.3240,68.3069,150.5619,3944.3931,30.1785,27.8738,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0235,1.2164,0.3112,1.2996,25.4736,2430.0439,0.3427,0.0200,2.3024,25.4736,2580.7182,0.2684,1.1598,3429.044404,3.429044,104.02,16335.93,0.5676,0.5676,0.8800,0.4735,0.4735,0.6700,0.8683,0.5420,0.7244,0.5086,0.7109,0.8360,0.5185,0.00,0.02,0.02,0
38.26,0,77.6,72.36,80.5,5.54,34.4,78.5,95.8,115,74.4,5.83,846,3.89,6.39,16.57,0.980,0.029,531,2.60,0.0432,7.49,5.05,0.869,36.5,31.2,88,0.89,0.408,0.0367,0.0367,259.859,240.870,1033,116,39.7,1033,117,39.4,168,44.8,95.8,39.9,37.7,44.6,2.12,2.12,3.42,-2.32,0.028403,117,592.19,0,0,0.000,0,0.000,0,498.6903,10709.0849,10.4996,73.5263,14.5396,31.3350,151.7170,3811.2641,10.9283,17.4649,68.8240,151.7170,3945.5183,30.4453,28.0956,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0238,1.2335,0.3148,1.3144,25.7645,2430.0452,0.3478,0.0203,2.3282,25.7645,2580.9475,0.2718,1.1730,3437.628740,3.437629,104.47,16375.48,0.5676,0.5676,0.8800,0.4735,0.4735,0.6700,0.8683,0.5420,0.7244,0.5086,0.7109,0.8360,0.5185,0.00,0.03,0.03,0
38.28,0,77.6,72.36,80.5,5.54,34.4,77.4,95.8,115,74.4,5.83,846,3.89,6.39,16.57,0.980,0.029,531,2.60,0.0432,7.49,5.05,0.869,36.5,31.2,86,0.88,0.365,0.0367,0.0367,259.859,240.870,1033,116,39.8,1033,117,39.4,168,44.8,95.8,39.9,37.7,44.6,2.12,2.12,3.27,-2.93,0.028392,117,592.19,0,0,0.000,0,0.000,0,498.6903,10727.5492,10.5830,74.3136,14.6545,31.5749,152.8480,3812.1037,11.0217,17.6024,69.3279,152.8480,3946.6172,30.7076,28.3118,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0240,1.2505,0.3183,1.3289,26.0526,2430.0464,0.3529,0.0205,2.3536,26.0526,2581.1659,0.2752,1.1860,3446.213332,3.446213,104.92,16415.03,0.5676,0.5676,0.8800,0.4735,0.4735,0.6700,0.8683,0.5420,0.7244,0.5086,0.7109,0.8360,0.5185,0.00,0.03,0.03,0
38.30,0,77.6,72.36,80.5,5.54,34.4,76.3,95.8,115,74.4,5.83,846,3.89,6.39,16.57,0.980,0.029,531,2.60,0.0432,7.49,5.05,0.869,36.5,31.2,84,0.86,0.323,0.0367,0.0367,259.859,240.870,1033,116,39.8,1033,117,39.4,168,44.8,95.8,39.9,37.7,44.6,2.12,2.12,3.32,-2.23,0.028380,117,592.19,0,0,0.000,0,0.000,0,498.6903,10746.0587,10.6643,75.0886,14.7666,31.8088,153.9556,3812.1312,11.1133,17.7364,69.8189,153.9556,3946.8305,30.9655,28.5226,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0243,1.2674,0.3218,1.3432,26.3378,2430.0477,0.3580,0.0207,2.3786,26.3378,2581.3738,0.2786,1.1987,3454.798171,3.454798,105.37,16454.57,0.5676,0.5676,0.8800,0.4735,0.4735,0.6700,0.8683,0.5420,0.7244,0.5086,0.7109,0.8360,0.5185,0.00,0.03,0.03,0
38.32,0,77.6,72.36,80.5,5.54,34.4,75.3,95.8,115,74.4,5.83,846,3.89,6.39,16.57,0.980,0.029,531,2.60,0.0432,7.49,5.05,0.869,36.5,31.2,82,0.85,0.283,0.0367,0.0367,259.859,240.870,1033,116,39.8,1033,117,39.5,168,44.8,95.8,39.9,37.7,44.6,2.12,2.12,3.17,-2.85,0.028368,117,592.19,0,0,0.000,0,0.000,0,498.6903,10764.5964,10.7436,75.8517,14.8760,32.0367,155.0405,3817.5260,11.2031,17.8673,70.2973,155.0405,3952.2300,31.2191,28.7280,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0246,1.2841,0.3252,1.3572,26.6202,2436.0585,0.3631,0.0209,2.4032,26.6202,2587.7950,0.2819,1.2112,3463.383245,3.463383,105.83,16494.12,0.5676,0.5676,0.8800,0.4735,0.4735,0.6700,0.8683,0.5420,0.7244,0.5086,0.7109,0.8360,0.5185,0.00,0.03,0.03,0
38.34,0,77.6,72.33,80.5,5.54,34.4,74.3,95.8,115,74.3,5.82,846,3.89,6.39,16.57,0.980,0.029,531,2.60,0.0432,7.49,5.05,0.869,36.5,31.2,80,0.84,0.247,0.0367,0.0367,259.859,240.870,1033,116,39.8,1033,117,39.5,168,44.8,95.8,39.9,37.7,44.6,2.12,2.12,3.26,-2.20,0.028355,117,592.19,0,0,0.000,0,0.000,0,499.2345,10783.1487,10.8214,76.6032,14.9831,32.2597,156.1086,3845.9204,11.2916,17.9954,70.7658,156.1086,3979.6362,31.4693,28.9291,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0248,1.3007,0.3286,1.3710,26.9008,2469.4394,0.3683,0.0212,2.4274,26.9008,2621.6331,0.2852,1.2235,3471.683679,3.471684,106.28,16533.66,0.5676,0.5676,0.8800,0.4735,0.4735,0.6700,0.8683,0.5420,0.7244,0.5086,0.7109,0.8360,0.5185,0.00,0.03,0.03,0
38.36,0,77.6,72.33,80.5,5.54,34.4,77.4,95.8,115,74.3,5.82,846,3.90,6.39,16.57,0.980,0.029,531,2.60,0.0432,7.49,5.05,0.869,36.5,31.2,85,0.89,0.336,0.0367,0.0367,259.859,240.870,1033,116,39.9,1033,117,39.5,168,44.8,95.8,39.9,37.7,44.6,2.12,2.12,3.26,-2.95,0.028343,117,592.19,0,0,0.000,0,0.000,0,517.4401,10801.6092,10.9079,77.3523,15.1025,32.5095,157.3393,3890.4040,11.3885,18.1383,71.2927,157.3393,4022.5240,31.7418,29.1541,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0251,1.3173,0.3323,1.3859,27.2158,2523.5461,0.3735,0.0214,2.4535,27.2158,2676.2655,0.2887,1.2368,3478.708254,3.478708,106.74,16573.21,0.5676,0.5676,0.8800,0.4735,0.4735,0.6700,0.8683,0.5420,0.7244,0.5086,0.7109,0.8360,0.5185,0.00,0.03,0.03,0
38.38,0,77.6,72.33,80.5,5.54,34.4,82.7,95.8,115,74.3,5.82,846,3.90,6.39,16.57,0.980,0.029,531,2.60,0.0432,7.49,5.05,0.869,36.5,31.2,95,0.97,0.519,0.0367,0.0367,259.859,240.870,1033,116,39.8,1033,117,39.5,168,44.8,95.8,39.9,37.7,44.6,2.12,2.12,3.57,-2.45,0.028333,117,592.19,0,0,0.000,0,0.000,0,544.8268,10819.8739,11.0099,78.1123,15.2432,32.8060,158.8015,3943.3452,11.4999,18.3068,71.9225,158.8015,4073.6503,32.0527,29.4209,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0254,1.3343,0.3364,1.4028,27.5693,2589.7508,0.3789,0.0217,2.4830,27.5693,2743.0745,0.2925,1.2519,3484.764401,3.484764,107.19,16612.75,0.5676,0.5676,0.8800,0.4735,0.4735,0.6700,0.8683,0.5420,0.7244,0.5086,0.7109,0.8360,0.5185,0.00,0.03,0.03,0
38.40,0,77.6,72.33,80.5,5.54,34.4,88.8,95.8,115,74.3,5.82,846,3.91,6.39,16.57,0.980,0.029,531,2.60,0.0432,7.49,5.05,0.869,36.5,31.2,107,1.05,0.746,0.0367,0.0367,259.859,240.870,1033,116,39.9,1033,117,39.6,168,44.8,95.8,39.9,37.7,44.6,2.12,2.12,3.73,-3.32,0.028327,117,592.19,0,0,0.000,0,0.000,0,574.7761,10837.8793,11.1307,78.8973,15.4100,33.1597,160.5212,3998.2588,11.6290,18.5067,72.6783,160.5212,4126.8291,32.4098,29.7390,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0257,1.3520,0.3411,1.4220,27.9595,2659.8475,0.3846,0.0220,2.5164,27.9595,2813.8686,0.2967,1.2691,3490.253312,3.490253,107.65,16652.29,0.5676,0.5676,0.8800,0.4735,0.4735,0.6700,0.8683,0.5420,0.7244,0.5086,0.7109,0.8360,0.5185,0.00,0.03,0.03,0
38.42,0,77.6,72.33,80.5,5.54,34.4,94.8,95.8,115,74.3,5.82,846,3.91,6.39,16.57,0.980,0.029,531,2.60,0.0432,7.49,5.05,0.869,36.5,31.2,118,1.13,0.978,0.0367,0.0367,259.859,240.870,1033,116,39.9,1033,117,39.5,168,44.8,95.8,39.9,37.7,44.6,2.12,2.12,4.12,-2.88,0.028325,117,592.19,0,0,0.000,0,0.000,0,603.3189,10855.6029,11.2711,79.7204,15.6039,33.5731,162.4904,4050.5472,11.7765,18.7392,73.5658,162.4904,4177.6475,32.8144,30.1105,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0261,1.3707,0.3463,1.4436,28.3826,2727.5224,0.3904,0.0223,2.5538,28.3826,2882.3507,0.3012,1.2883,3495.556737,3.495557,108.11,16691.83,0.5676,0.5676,0.8800,0.4735,0.4735,0.6700,0.8683,0.5420,0.7244,0.5086,0.7109,0.8360,0.5185,0.00,0.03,0.03,0
38.44,0,77.6,72.33,80.5,5.54,34.4,100.1,95.8,115,74.3,5.82,846,3.92,6.39,16.57,0.980,0.029,531,2.60,0.0432,7.49,5.05,0.869,36.5,31.2,129,1.19,1.191,0.0367,0.0367,259.859,240.870,1033,116,39.9,1033,117,39.6,168,44.8,95.8,39.9,37.7,44.6,2.12,2.12,4.30,-3.76,0.028326,117,592.19,0,0,0.000,0,0.000,0,628.6173,10873.0526,11.4299,80.5923,15.8234,34.0427,164.6802,4097.4919,11.9412,19.0024,74.5773,164.6802,4223.4725,33.2636,30.5324,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0266,1.3905,0.3521,1.4673,28.8337,2788.7948,0.3964,0.0227,2.5949,28.8337,2944.5503,0.3061,1.3095,3500.968408,3.500968,108.56,16731.38,0.5676,0.5676,0.8800,0.4735,0.4735,0.6700,0.8683,0.5420,0.7244,0.5086,0.7109,0.8360,0.5185,0.00,0.03,0.03,0
38.46,0,77.6,72.33,80.5,5.54,34.4,104.6,95.8,115,74.3,5.82,846,3.92,6.39,16.57,0.980,0.029,531,2.60,0.0432,7.49,5.05,0.869,36.5,31.2,138,1.24,1.371,0.0367,0.0367,259.859,240.870,1033,116,39.9,1033,117,39.6,168,44.8,95.8,39.9,37.7,44.6,2.12,2.12,4.65,-3.28,0.028330,117,592.19,0,0,0.000,0,0.000,0,650.1635,10890.2539,11.6050,81.5208,16.0653,34.5617,167.0525,4137.8860,12.1211,19.2927,75.6972,167.0525,4263.1129,33.7516,30.9984,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0271,1.4115,0.3583,1.4930,29.3082,2841.7545,0.4027,0.0231,2.6393,29.3082,2998.5567,0.3112,1.3324,3506.673625,3.506674,109.02,16770.92,0.5676,0.5676,0.8800,0.4735,0.4735,0.6700,0.8683,0.5420,0.7244,0.5086,0.7109,0.8360,0.5185,0.00,0.03,0.03,0
38.48,0,77.6,72.33,80.5,5.54,34.4,108.0,95.8,115,74.3,5.82,846,3.93,6.39,16.57,0.980,0.029,531,2.60,0.0432,7.49,5.05,0.869,36.5,31.2,145,1.28,1.515,0.0367,0.0367,259.859,240.870,1033,116,40.0,1033,117,39.6,168,44.8,95.8,39.9,37.7,44.6,2.12,2.12,4.75,-4.10,0.028337,117,592.19,0,0,0.000,0,0.000,0,668.1394,10907.2396,11.7936,82.5110,16.3260,35.1217,169.5682,4171.5738,12.3137,19.6054,76.9066,169.5682,4296.3859,34.2719,31.5012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0276,1.4338,0.3649,1.5204,29.8019,2886.0017,0.4091,0.0235,2.6866,29.8019,3043.9587,0.3167,1.3569,3512.761552,3.512762,109.48,16810.46,0.5676,0.5676,0.8800,0.4735,0.4735,0.6700,0.8683,0.5420,0.7244,0.5086,0.7109,0.8360,0.5185,0.00,0.03,0.03,0
38.50,0,77.6,72.33,80.5,5.54,34.4,110.6,95.8,115,74.3,5.82,846,3.93,6.39,16.57,0.980,0.029,531,2.60,0.0432,7.49,5.05,0.869,36.5,31.2,150,1.31,1.625,0.0367,0.0367,259.859,240.870,1033,116,40.0,1033,117,39.6,168,44.8,95.8,39.9,37.7,44.6,2.12,2.12,5.01,-3.54,0.028346,117,592.19,0,0,0.000,0,0.000,0,683.0140,10924.0434,11.9930,83.5649,16.6016,35.7143,172.1918,4199.0348,12.5165,19.9362,78.1865,172.1918,4323.7230,34.8181,32.0333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0281,1.4573,0.3719,1.5493,30.3115,2922.0719,0.4157,0.0239,2.7363,30.3115,3081.2732,0.3224,1.3826,3519.251260,3.519251,109.94,16850.00,0.5676,0.5676,0.8800,0.4735,0.4735,0.6700,0.8683,0.5420,0.7244,0.5086,0.7109,0.8360,0.5185,0.00,0.03,0.03,0
38.52,0,77.6,72.33,80.5,5.54,34.4,112.5,95.8,115,74.3,5.82,846,3.94,6.39,16.57,0.980,0.029,531,2.60,0.0432,7.49,5.05,0.869,36.5,31.2,154,1.33,1.704,0.0367,0.0367,259.859,240.870,1033,116,40.0,1033,117,39.7,168,44.8,95.8,39.9,37.7,44.6,2.12,2.12,5.02,-4.29,0.028356,117,592.19,0,0,0.000,0,0.000,0,695.3249,10940.6962,12.2007,84.6823,16.8888,36.3319,174.8933,4221.0658,12.7272,20.2807,79.5193,174.8933,4345.8659,35.3842,32.5877,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0286,1.4822,0.3792,1.5793,30.8342,2950.9769,0.4224,0.0244,2.7880,30.8342,3111.4892,0.3283,1.4094,3526.118410,3.526118,110.40,16889.53,0.5676,0.5676,0.8800,0.4735,0.4735,0.6700,0.8683,0.5420,0.7244,0.5086,0.7109,0.8360,0.5185,0.00,0.03,0.03,0
38.54,0,77.6,72.33,80.5,5.54,34.4,113.7,95.8,115,74.3,5.82,846,3.94,6.39,16.57,0.980,0.029,531,2.60,0.0432,7.49,5.05,0.869,36.5,31.2,157,1.34,1.758,0.0367,0.0367,259.859,240.870,1033,116,40.0,1033,117,39.7,168,44.8,95.8,39.9,37.7,44.6,2.12,2.12,5.19,-3.66,0.028367,117,592.19,0,0,0.000,0,0.000,0,705.5732,10957.2246,12.4147,85.8610,17.1845,36.9678,177.6479,4238.5638,12.9438,20.6355,80.8902,177.6479,4363.6580,35.9651,33.1587,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0292,1.5082,0.3867,1.6103,31.3677,2973.8886,0.4293,0.0249,2.8413,31.3677,3135.7556,0.3343,1.4371,3533.316566,3.533317,110.86,16929.07,0.5676,0.5676,0.8800,0.4735,0.4735,0.6700,0.8683,0.5420,0.7244,0.5086,0.7109,0.8360,0.5185,0.00,0.03,0.03,0
38.56,0,77.6,72.33,80.5,5.54,34.4,114.4,95.8,115,74.3,5.82,846,3.95,6.39,16.57,0.980,0.029,531,2.60,0.0432,7.49,5.05,0.869,36.5,31.2,158,1.34,1.790,0.0367,0.0367,259.859,240.870,1033,116,40.1,1033,117,39.7,168,44.8,95.8,39.9,37.7,44.6,2.12,2.12,5.13,-4.34,0.028379,117,592.19,0,0,0.000,0,0.000,0,714.1827,10973.6506,12.6331,87.0974,17.4863,37.6165,180.4358,4252.3935,13.1648,20.9976,82.2866,180.4358,4377.9163,36.5567,33.7413,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0298,1.5354,0.3943,1.6421,31.9102,2991.9475,0.4364,0.0254,2.8961,31.9102,3155.1918,0.3405,1.4655,3540.791816,3.540792,111.32,16968.61,0.5676,0.5676,0.8800,0.4735,0.4735,0.6700,0.8683,0.5420,0.7244,0.5086,0.7109,0.8360,0.5185,0.00,0.03,0.03,0
38.58,0,77.6,72.33,80.5,5.54,34.4,114.7,95.8,115,74.3,5.82,846,3.95,6.39,16.57,0.980,0.029,531,2.60,0.0432,7.49,5.05,0.869,36.5,31.2,159,1.35,1.806,0.0367,0.0367,259.859,240.870,1033,116,40.1,1033,116,39.7,168,44.8,95.8,39.9,37.7,44.6,2.12,2.12,5.23,-3.67,0.028391,117,592.19,0,0,0.000,0,0.000,0,721.4856,10989.9918,12.8544,88.3869,17.7921,38.2735,183.2411,4263.3128,13.3887,21.3645,83.6984,183.2411,4389.3590,37.1555,34.3313,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0304,1.5636,0.4022,1.6746,32.4601,3006.1563,0.4435,0.0259,2.9520,32.4601,3170.7822,0.3468,1.4945,3548.491653,3.548492,111.79,17008.15,0.5676,0.5676,0.8800,0.4735,0.4735,0.6700,0.8683,0.5420,0.7244,0.5086,0.7109,0.8360,0.5185,0.00,0.03,0.03,0
38.60,0,77.6,72.33,80.5,5.54,34.4,114.7,95.8,115,74.3,5.82,846,3.96,6.39,16.57,0.980,0.029,531,2.60,0.0432,7.49,5.05,0.869,36.5,31.2,159,1.34,1.807,0.0367,0.0367,259.859,240.870,1033,116,40.1,1033,117,39.8,168,44.8,95.8,39.9,37.7,44.6,2.12,2.12,5.11,-4.31,0.028403,117,592.19,0,0,0.000,0,0.000,0,727.7045,11006.2629,13.0775,89.7243,18.1002,38.9350,186.0504,4271.9250,13.6145,21.7341,85.1170,186.0504,4398.5586,37.7587,34.9255,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0310,1.5927,0.4102,1.7077,33.0160,3017.3131,0.4508,0.0264,3.0088,33.0160,3183.3107,0.3532,1.5240,3556.369906,3.556370,112.25,17047.68,0.5676,0.5676,0.8800,0.4735,0.4735,0.6700,0.8683,0.5420,0.7244,0.5086,0.7109,0.8360,0.5185,0.00,0.03,0.03,0
38.62,0,77.6,72.33,80.5,5.54,34.4,114.3,95.8,115,74.3,5.82,846,3.97,6.39,16.57,0.980,0.029,531,2.60,0.0432,7.49,5.05,0.869,36.5,31.2,158,1.34,1.796,0.0367,0.0367,259.859,240.870,1033,115,40.1,1033,116,39.8,168,44.8,95.8,39.9,37.7,44.6,2.12,2.12,5.17,-3.61,0.028416,117,592.19,0,0,0.000,0,0.000,0,732.8859,11022.4768,13.3010,91.1037,18.4090,39.5972,188.8494,4278.6089,13.8409,22.1043,86.5342,188.8494,4405.8750,38.3633,35.5204,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0316,1.6227,0.4183,1.7411,33.5761,3025.9184,0.4582,0.0269,3.0662,33.5761,3193.2682,0.3597,1.5538,3564.389832,3.564390,112.71,17087.22,0.5676,0.5676,0.8800,0.4735,0.4735,0.6700,0.8683,0.5420,0.7244,0.5086,0.7109,0.8360,0.5185,0.00,0.03,0.03,0
38.64,0,77.6,72.33,80.5,5.54,34.4,113.5,95.8,115,74.3,5.82,846,3.97,6.39,16.57,0.980,0.029,531,2.60,0.0432,7.49,5.05,0.869,36.5,31.2,156,1.33,1.768,0.0367,0.0367,259.859,240.870,1033,116,40.2,1033,116,39.8,168,44.8,95.8,39.9,37.7,44.6,2.12,2.12,5.03,-4.23,0.028427,117,592.19,0,0,0.000,0,0.000,0,736.6896,11038.6490,13.5234,92.5185,18.7161,40.2551,191.6166,4283.3402,14.0666,22.4726,87.9391,191.6166,4411.2826,38.9656,36.1116,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0322,1.6535,0.4264,1.7748,34.1371,3031.9378,0.4658,0.0275,3.1240,34.1371,3200.6170,0.3663,1.5839,3572.528454,3.572528,113.18,17126.75,0.5676,0.5676,0.8800,0.4735,0.4735,0.6700,0.8683,0.5420,0.7244,0.5086,0.7109,0.8360,0.5185,0.00,0.04,0.04,0
38.66,0,77.6,72.33,80.5,5.54,34.4,111.9,95.8,115,74.3,5.82,846,3.98,6.39,16.57,0.980,0.029,531,2.60,0.0432,7.49,5.05,0.869,36.5,31.2,153,1.30,1.711,0.0367,0.0367,259.859,240.870,1033,115,40.2,1033,116,39.8,168,44.8,95.8,39.9,37.7,44.6,2.12,2.12,5.06,-3.50,0.028438,117,592.19,0,0,0.000,0,0.000,0,737.8667,11054.8065,13.7415,93.9599,19.0172,40.8992,194.3067,4285.2570,14.2886,22.8336,89.3108,194.3067,4413.9548,39.5584,36.6906,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0328,1.6848,0.4345,1.8082,34.6913,3034.2343,0.4734,0.0280,3.1815,34.6913,3204.2288,0.3728,1.6138,3580.787622,3.580788,113.64,17166.29,0.5676,0.5676,0.8800,0.4735,0.4735,0.6700,0.8683,0.5420,0.7244,0.5086,0.7109,0.8360,0.5185,0.00,0.04,0.04,0
38.68,0,77.6,72.33,80.5,5.54,34.4,109.9,95.8,115,74.3,5.82,846,3.98,6.39,16.57,0.980,0.029,531,2.60,0.0432,7.49,5.05,0.869,36.5,31.2,149,1.27,1.638,0.0367,0.0367,259.859,240.870,1033,115,40.2,1033,116,39.9,168,44.8,95.8,39.9,37.7,44.6,2.12,2.12,4.88,-4.10,0.028448,117,592.19,0,0,0.000,0,0.000,0,737.8667,11070.9691,13.9540,95.4189,19.3105,41.5256,196.9169,4285.0526,14.5057,23.1852,90.6411,196.9169,4414.4411,40.1386,37.2537,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0334,1.7166,0.4425,1.8414,35.2391,3034.2358,0.4810,0.0285,3.2384,35.2391,3204.8684,0.3793,1.6433,3589.220456,3.589220,114.11,17205.82,0.5676,0.5676,0.8800,0.4735,0.4735,0.6700,0.8683,0.5420,0.7244,0.5086,0.7109,0.8360,0.5185,0.00,0.04,0.04,0
